HScode,hasEstimatedGain,tariffRate,BCgain,ABgain,SKgain,MBgain,ROCgain,CAgain,JPgain,MLgain,MXgain,NZgain,CNgain,EUgain,USgain,BCgainPercent,ABgainPercent,SKgainPercent,MBgainPercent,CAgainPercent,ROCgainPercent,initialTariffRate,description
010129,TRUE,0,89000,3312000,0,892000,0,4292000,-1426000,0,0,56000,0,-31000,-32000,0.27,0.27,0,0.25,0.26,0,0.06,"Horses; live, other than pure-bred breeding animals"
200410,TRUE,0,12000,8409000,0,410000,2541000,11372000,-3607000,-0,0,1454000,-16000,-173000,-967000,0.48,0.45,0,0.48,0.46,0.47,0.1,"Vegetable preparations; potatoes, prepared or preserved otherwise than by vinegar or acetic acid, frozen"
282911,TRUE,0,3418000,0,0,0,391000,3809000,-1356000,0,0,0,-125000,-168000,-220000,0.14,0,0,0,0.15,0.21,0.03,Chlorates; of sodium
170220,TRUE,0,80000,0,4000,0,9799000,9883000,-3646000,0,0,0,0,0,-14000,0.45,0,0.5,0,0.49,0.49,0.09,"Sugars; maple sugar, chemically pure, in solid form; maple syrup, not containing added flavouring or colouring matter"
440910,TRUE,0,806000,1000,0,0,3000,810000,-181000,-0,0,76000,-84000,-115000,-10000,0.22,0.22,0,0,0.22,0.22,0.03,"Wood; coniferous (including unassembled strips and friezes for parquet flooring), continuously shaped along any edges, ends or faces, whether or not planed, sanded or end-jointed"
030821,TRUE,0,594000,0,0,0,16000,611000,-74000,0,-0,0,-1000,0,-2000,0.07,0.09,0,0.08,0.07,0.09,0.04,"Aquatic invertebrates; sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus), live, fresh or chilled"
030214,TRUE,0,870000,0,0,0,6000,876000,-103000,0,0,1000,0,-1000,-0,0.09,0.09,0,0,0.09,0.09,0.04,"Fish; fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
230990,TRUE,0,23000,16000,0,0,170000,209000,-288000,-2000,-0,84000,-0,-2000,13000,0.09,0.1,0,0.09,0.09,0.09,0.02,"Dog or cat food; (not put up for retail sale), used in animal feeding"
392690,TRUE,0,79000,6000,0,8000,1301000,1394000,-1315000,-121000,1000,155000,84000,6000,42000,0.18,0.19,0,0.18,0.18,0.18,0.03,Plastics; other articles n.e.c. in chapter 39
071332,TRUE,0,0,395000,506000,0,72814000,73680000,-26404000,0,0,0,-3328000,0,-204000,0,25.53,25.41,0,5.61,5.56,1.63,"Vegetables, leguminous; small red (adzuki) beans (phaseolus or vigna angularis), shelled, whether or not skinned or split, dried"
320890,TRUE,0,9000,0,0,0,17000,26000,-49000,0,-5000,3000,0,2000,4000,0.23,0,0,0,0.23,0.23,0.03,"Paints and varnishes; based on polymers n.e.c. in heading no. 3208, dispersed or dissolved in a non-aqueous medium"
350300,TRUE,0,0,0,0,0,12854000,12854000,-4854000,0,0,0,-122000,-1582000,-155000,0.81,0,0,0,0.66,0.66,0.1,"Gelatin (including gelatin in rectangular sheets, whether or not surface-worked or coloured) and gelatin derivatives; isinglass; other glues of animal origin, excluding casein glues of heading no. 3501"
030391,TRUE,0,297000,0,0,0,337000,634000,-188000,0,0,31000,-0,-0,-22000,0.12,0,0,0,0.11,0.1,0.04,"Fish; frozen, livers, roes and milt"
020621,TRUE,0,8000,7357000,0,0,265000,7630000,-6400000,0,-180000,11365000,0,-241000,-2708000,1.39,0.7,0,0,0.72,1.32,0.13,"Offal, edible; of bovine animals, tongues, frozen"
030389,TRUE,0,1413000,0,0,0,714000,2128000,-1466000,-0,-0,3059000,-39000,-15000,-222000,0.17,0,0,0,0.17,0.18,0.04,"Fish; frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
620193,TRUE,0,149000,0,0,0,11910000,12060000,-1256000,-11000,2000,0,-1068000,-219000,-11000,1.39,0,0,1.22,1.09,1.09,0.11,"Anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles; men's or boys', of man-made fibres, other than those of heading no. 6203 (not knitted or crocheted)"
410150,TRUE,0,1000,120000,0,0,2483000,2604000,-393000,0,-0,63000,0,-12000,-24000,0.2,0.2,0,0,0.19,0.19,0.08,"Hides and skins; raw, whole, of bovine or equine animals, of a weight per skin exceeding 16 kg"
040900,TRUE,0,317000,4638000,752000,1231000,1601000,8540000,-3659000,-0,-8000,15309000,-275000,-60000,-2000,0.78,0.68,0.76,0.74,0.72,0.79,0.25,Honey; natural
020649,TRUE,0,1722000,28217000,0,53214000,52762000,135915000,-43593000,0,-287000,0,0,-3278000,-24936000,15.92,8.68,0,9.23,11.04,16.59,0.62,"Offal, edible; of swine, (other than livers), frozen"
230910,TRUE,0,15000,196000,0,0,571000,781000,-273000,0,-0,214000,-14000,-19000,-11000,0.04,0.04,0,0,0.04,0.04,0.01,"Dog or cat food; put up for retail sale, used in animal feeding"
151411,TRUE,0,632000,270000,515000,0,127000,1543000,-440000,0,0,0,0,-10000,0,0.7,0.7,0.7,0,0.7,0.7,0.1,"Vegetable oils; low erucic acid rape or colza oil and its fractions, crude"
750890,TRUE,0,0,28000,0,0,8000,36000,-18000,-0,-0,0,-0,-0,-3000,0,0.25,0,0,0.25,0.25,0.03,Nickel; articles thereof n.e.c. in item no. 7508.1
071333,TRUE,0,3000,82000,165000,245000,7596000,8091000,-2336000,0,0,0,-94000,-6000,-122000,8.41,8.29,8.36,8.37,8.1,8.09,0.85,"Vegetables, leguminous; kidney beans, including white pea beans (phaseolus vulgaris), shelled, whether or not skinned or split, dried"
284990,TRUE,0,198000,0,0,0,906000,1104000,-381000,0,0,0,-118000,-69000,-2000,0.16,0.17,0,0,0.15,0.15,0.03,"Carbides; whether or not chemically defined, other than of calcium or silicon"
620213,TRUE,0,0,0,0,0,745000,745000,-149000,-2000,0,5000,628000,-14000,-0,1.42,0,0,0,1.19,1.19,0.11,"Coats; women's or girls', overcoats, raincoats, car-coats, capes, cloaks and similar articles, of man-made fibres, other than those of heading no. 6204 (not knitted or crocheted)"
282560,TRUE,0,791000,0,0,0,0,791000,-350000,0,0,0,-71000,-1000,-23000,0.1,0,0,0,0.1,0,0.02,Germanium oxides and zirconium dioxide
611020,TRUE,0,185000,0,0,0,2655000,2840000,-1076000,-876000,27000,3000,4567000,267000,18000,1.32,0,0,1.25,1.21,1.21,0.1,"Jerseys, pullovers, cardigans, waistcoats and similar articles; of cotton, knitted or crocheted"
390140,TRUE,0,0,504000,0,0,0,504000,-175000,-0,0,0,-0,-3000,-8000,0,0.2,0,0,0.2,0,0.03,"Ethylene polymers; in primary forms, ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94"
190590,TRUE,0.06,1232000,201000,0,18000,320000,1771000,-975000,-41000,-0,313000,-47000,-29000,-24000,0.55,0.55,0,0.55,0.55,0.55,0.18,"Food preparations; bakers' wares n.e.c. in heading no. 1605, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice papers and similar products"
030351,TRUE,0,652000,0,0,0,16000,667000,-187000,0,0,0,0,-1000,-37000,0.21,0,0,0,0.21,0.26,0.06,"Fish; frozen, herrings (Clupea harengus, Clupea pallasii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
811292,TRUE,0,823000,0,0,0,0,824000,-281000,-0,0,0,-56000,-29000,-17000,0.08,0,0,0,0.08,0.12,0.01,"Gallium, germanium, hafnium, indium, niobium (columbium), rhenium and vanadium; articles thereof, unwrought, including waste and scrap, powders"
030311,TRUE,0,827000,0,0,0,0,827000,-230000,0,0,0,-0,0,-30000,0.14,0,0,0,0.14,0,0.04,"Fish; frozen, Pacific salmon, sockeye salmon (red salmon) (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030312,TRUE,0,844000,0,0,0,0,844000,-321000,0,0,271000,0,0,-2000,0.14,0,0,0,0.14,0,0.04,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
151419,TRUE,0,70000,1801000,5000,262000,20000,2157000,-779000,-16000,0,0,0,-10000,-40000,0.41,0.4,0.41,0.41,0.4,0.41,0.08,"Vegetable oils; low erucic acid rape or colza oil and its fractions, other than crude, but not chemically modified"
280300,TRUE,0,0,993000,0,0,84000,1077000,-411000,-0,-2000,0,-74000,-22000,-29000,0,0.27,0,0,0.27,0.29,0.04,Carbon; carbon blacks and other forms of carbon n.e.c.
020629,TRUE,0.03,53000,19008000,0,26000,9371000,28458000,-15035000,0,-848000,18928000,0,-448000,-3507000,3.18,2.55,0,3.1,2.68,2.98,0.28,"Offal, edible; of bovine animals, (other than tongues and livers), frozen"
070200,TRUE,0,134000,0,0,0,139000,274000,-150000,0,-3000,283000,0,-4000,-8000,0.11,0,0,0,0.11,0.11,0.03,"Vegetables; tomatoes, fresh or chilled"
071310,TRUE,0,132000,14897000,47999000,706000,1138000,64871000,-21069000,0,0,13525000,-128000,-1223000,-1352000,16.74,15.48,16.33,16.59,16.12,15.75,1.42,"Vegetables, leguminous; peas (pisum sativum), shelled, whether or not skinned or split, dried"
390690,TRUE,0,1000,0,0,12000,17000,29000,-26000,-0,-0,2000,0,0,1000,0.24,0,0,0.24,0.24,0.24,0.03,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms"
210410,TRUE,0,634000,7000,0,0,62000,703000,-1031000,-0,0,1721000,-19000,-21000,-45000,0.34,0.34,0,0,0.34,0.34,0.08,Soups and broths and preparations therefor
620293,TRUE,0,11000,0,0,0,8229000,8240000,-1159000,-14000,1000,2000,-1371000,-236000,-4000,1.41,0,0,1.18,1.12,1.12,0.11,"Anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles; women's or girls', of man-made fibres, other than those of heading no. 6204 (not knitted or crocheted)"
070959,TRUE,0.01,634000,0,0,0,0,635000,-172000,-0,-0,0,-25000,-7000,-4000,0.1,0.1,0,0.1,0.1,0,0.04,"Vegetables; truffles and mushrooms (other than of the genus Agaricus), fresh or chilled"
151491,TRUE,0,267000,0,183000,0,8000,457000,-130000,0,0,0,0,-21000,-16000,0.4,0,0.5,0,0.44,0.49,0.07,"Vegetable oils; excluding low erucic acid rape or colza oil and its fractions, crude"
630900,TRUE,0,86000,0,0,0,912000,998000,-517000,-3000,-2000,1000,-5000,-17000,-98000,0.52,0,0,0,0.51,0.51,0.06,"Clothing; worn, and other worn articles"
271019,TRUE,0,1000,667000,0,0,88000,756000,-1755000,24000,0,0,4000,1000,2000,0.07,0.07,0,0,0.07,0.07,0.02,"Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; not light oils and preparations"
620113,TRUE,0,20000,0,0,0,71000,90000,89000,-1000,0,0,571000,25000,2000,1.33,0,0,0,1.27,1.25,0.11,"Coats; men's or boys', overcoats, raincoats, car-coats, capes, cloaks and similar articles, of man-made fibres, other than those of heading no. 6203 (not knitted or crocheted)"
210330,TRUE,0,2000,577000,0,1000,204000,785000,-232000,0,0,1000,-1000,-42000,-14000,0.36,0.32,0,0.36,0.33,0.36,0.08,Mustard flour and meal and prepared mustard
293299,TRUE,0,433000,0,0,0,3000,436000,-160000,0,-0,13000,-22000,-42000,-8000,0.2,0,0,0,0.2,0.22,0.03,"Heterocyclic compounds; with oxygen hetero-atom(s) only, no lactones or unfused furan rings (hydrogenated or not) in the structure, other than isosafrole, 1-(1,3-benzodiaxol-5-yl) propan-2-one, piperonal, safrole, tetrahydrocannabinols (all isomers)"
440799,TRUE,0,94000,0,0,0,640000,734000,-155000,-50000,-0,1000,-47000,-5000,-151000,0.17,0,0,0,0.17,0.17,0.02,"Wood; sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6mm, whether or not planed, sanded or finger-jointed, n.e.c. in heading no. 4407"
392590,TRUE,0,4000,4000,0,41000,271000,321000,-155000,-4000,-0,2000,-18000,-2000,-2000,0.29,0.29,0,0.28,0.29,0.29,0.04,"Plastics; builders' ware, n.e.c. or included in heading no. 3925"
151519,TRUE,0,131000,2000,100000,254000,0,487000,-137000,0,0,13000,-5000,-83000,-42000,0.29,0.33,0.31,0.2,0.24,0,0.05,"Vegetable oils; linseed oil and its fractions, other than crude, whether or not refined, but not chemically modified"
020322,TRUE,0,599000,7235000,0,2010000,13575000,23419000,-4839000,0,-4636000,0,0,-196000,-77000,4.99,4.29,0,5.26,4.91,5.26,0.52,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen"
051199,TRUE,0,8000,1000,0,0,13000,22000,-7000,-0,-0,25000,-0,-0,-0,0.02,0.02,0,0,0.02,0.02,0.01,Animal products; n.e.c. in chapter 5
390190,TRUE,0,0,906000,0,0,313000,1219000,-536000,-0,0,0,-2000,-18000,-25000,0,0.2,0,0,0.2,0.2,0.03,"Ethylene polymers; in primary forms, n.e.c. in heading no. 3901"
210390,TRUE,0,121000,0,0,0,219000,340000,-4797000,-1000,-8000,12126000,-130000,-53000,-143000,0.44,0,0,0,0.44,0.44,0.1,Sauces and preparations therefor; mixed condiments and mixed seasonings
382100,TRUE,0,49000,0,0,0,0,49000,-17000,0,-0,0,-0,-3000,-7000,0.17,0.18,0,0,0.17,0.18,0.03,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells"
761699,TRUE,0,285000,2000,0,87000,44000,417000,-178000,-0,-0,4000,7000,-0,0,0.24,0.25,0,0.25,0.25,0.25,0.03,Aluminium; articles n.e.c. in heading 7616
780110,TRUE,0,53000,0,0,0,0,53000,-17000,-0,0,0,-0,-0,-0,0.03,0,0,0,0.03,0,0,"Lead; unwrought, refined"
030339,TRUE,0,139000,0,0,0,0,139000,-39000,0,0,1000,-0,-1000,-11000,0.14,0,0,0,0.14,0.15,0.04,"Fish; frozen, flat fish, n.e.c. in item no. 0303.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
441899,TRUE,0,342000,84000,0,0,204000,630000,-410000,-0,0,1337000,-40000,-225000,-5000,0.23,0.23,0,0,0.23,0.23,0.03,"Wood; builders' joinery and carpentry of wood n.e.c. in heading no. 4418, other than of bamboo"
220421,TRUE,0,58000,0,0,0,159000,217000,-357000,0,-0,4012000,-0,-32000,-5000,0.35,0,0,0,0.35,0.35,0.14,"Wine; still, in containers holding 2 litres or less"
071320,TRUE,0,2000,7000,56000,1000,34000,100000,-27000,0,-1000,0,-0,-0,-3000,0.16,0.16,0.16,0.16,0.16,0.16,0.04,"Vegetables, leguminous; chickpeas (garbanzos), shelled, whether or not skinned or split, dried"
630790,TRUE,0,31000,0,0,0,104000,135000,-321000,-45000,9000,46000,1049000,11000,26000,0.51,0.49,0,0,0.49,0.48,0.05,"Textiles; made up articles (including dress patterns), n.e.c. in chapter 63, n.e.c. in heading no. 6307"
282590,TRUE,0,0,0,0,42000,0,42000,-15000,-0,0,0,-4000,-2000,-1000,0,0,0,0.06,0.06,0,0.01,"Inorganic bases, metal oxides, hydroxides and peroxides; n.e.c. in heading no. 2825"
381400,TRUE,0,133000,0,0,0,30000,164000,-69000,-0,0,0,-21000,-2000,-3000,0.25,0,0,0,0.26,0.28,0.04,"Solvents and thinners; organic composite solvents and thinners, n.e.c. or included, prepared paint or varnish removers"
200819,TRUE,0,0,0,35000,0,144000,179000,-58000,-1000,-0,0,-10000,-1000,-2000,0,0,0.48,0,0.48,0.48,0.1,"Nuts and other seeds; whether or not containing added sugar, other sweetening matter or spirit (excluding ground-nuts except in mixtures)"
100290,TRUE,0,0,5000,16000,25000,0,45000,-0,0,0,0,0,-9000,-0,0,0.11,0.11,0.11,0.11,0,0.04,"Cereals; rye, other than seed"
030617,TRUE,0,134000,0,0,0,3000,137000,-39000,-0,-0,0,-1000,-0,-0,0.04,0,0,0,0.04,0.04,0.01,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water"
090121,TRUE,0,57000,0,0,0,473000,530000,-153000,0,-1000,1000,-0,-15000,-15000,0.57,0,0,0,0.57,0.57,0.12,"Coffee; roasted, not decaffeinated"
030213,TRUE,0,90000,0,0,0,0,90000,-52000,0,0,345000,0,0,-0,0.09,0,0,0,0.09,0,0.04,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), not fillets, meat of 0304, and edible fish offal of 0302.9"
160100,TRUE,0,85000,265000,0,0,158000,507000,-196000,-0,0,465000,-120000,-60000,-134000,1.3,1.3,0,0,1.3,1.31,0.1,"Meat preparations; sausages and similar products, of meat, meat offal or blood, and food preparations based on these products"
200989,TRUE,0,84000,0,0,0,403000,487000,-3604000,0,0,11859000,-91000,-222000,-561000,0.74,0,0,0,0.74,0.74,0.15,"Juice; of any single fruit or vegetable n.e.c. in heading no. 2009, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter"
340399,TRUE,0,81000,11000,0,0,26000,118000,-95000,0,-0,0,-1000,-3000,-2000,0.21,0.22,0,0,0.21,0.22,0.03,"Lubricating preparations; other than for the treatment of textile and similar materials, not containing petroleum oils or oils obtained from bituminous minerals"
150420,TRUE,0,150000,0,0,0,13000,163000,-131000,0,-0,281000,-6000,-11000,-31000,0.8,0,0,0,0.8,0.8,0.07,"Fats and oils and their fractions; of fish, (excluding liver-oils)"
390120,TRUE,0,0,226000,0,0,0,226000,-89000,-1000,-0,0,-1000,-1000,-1000,0,0.51,0,0,0.51,0,0.06,"Ethylene polymers; in primary forms, polyethylene having a specific gravity of 0.94 or more"
220110,TRUE,0,37000,0,0,0,1000,38000,-4000,-0,0,13000,-0,-0,-0,0.07,0,0,0,0.07,0.07,0.03,"Waters; mineral and aerated, including natural or artificial, (not containing added sugar or other sweetening matter nor flavoured)"
293499,TRUE,0,0,14000,0,0,4000,18000,-7000,0,0,1000,-0,-2000,-1000,0.07,0.07,0,0,0.07,0.07,0.01,"Nucleic acids and their salts, other heterocyclic compounds, n.e.c. in heading number 2934"
070960,TRUE,0,22000,0,0,0,0,22000,-424000,0,0,1560000,-0,-19000,0,0.11,0,0,0,0.11,0,0.03,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled"
620449,TRUE,0,3000,0,0,0,316000,319000,-99000,0,0,1000,-52000,-38000,-9000,0.98,0,0,0,0.95,0.94,0.1,"Dresses; women's or girls', of textile materials n.e.c. in item no. 6204.4 (not knitted or crocheted)"
621040,TRUE,0,390000,0,0,0,125000,515000,151000,0,0,0,433000,2000,1000,0.99,0,0,0,1.01,1.08,0.1,"Garments; men's or boys', n.e.c. in item no. 6210.2, of the fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted)"
611011,TRUE,0,650000,0,0,0,16000,666000,-1547000,-0,0,8000,805000,174000,1000,1.17,0,0,0,1.18,1.21,0.11,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted, of wool or fine animal hair"
030541,TRUE,0,74000,0,0,0,12000,87000,-30000,0,0,19000,-1000,-3000,-0,0.47,0,0,0,0.47,0.49,0.1,"Fish; smoked, whether or not cooked before or during smoking, salmon, Pacific (Oncorhynchus nerka, gorbuscha, keta, tschawytscha, kisutch, masou, rhodurus), Atlantic (Salmo salar) and Danube (Hucho hucho), includes fillets, but excludes edible fish offal"
560210,TRUE,0,89000,0,0,0,5000,94000,-30000,0,-0,0,-16000,-7000,-0,0.37,0,0,0,0.38,0.5,0.06,"Felt; needleloom felt and stitch-bonded fibre fabrics, whether or not impregnated, coated, covered or laminated"
610910,TRUE,0,46000,0,0,0,170000,216000,-248000,-107000,177000,6000,3880000,293000,117000,1,0,0,0,1.01,1.01,0.09,"T-shirts, singlets and other vests; of cotton, knitted or crocheted"
200520,TRUE,0,63000,6000,0,0,659000,728000,-224000,-1000,-0,0,-24000,-9000,-30000,0.54,0.54,0,0,0.54,0.54,0.12,"Vegetable preparations; potatoes, prepared or preserved otherwise than by vinegar or acetic acid, not frozen"
620192,TRUE,0,52000,0,0,0,32000,84000,-153000,-0,3000,0,208000,26000,6000,1.33,0,0,0,1.3,1.25,0.11,"Anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles; men's or boys', of cotton, other than those of heading no. 6203 (not knitted or crocheted)"
151790,TRUE,0,112000,0,0,0,1000,113000,344000,-1793000,0,18000,20000,154000,442000,0.85,0,0,0,0.85,1,0.08,"Edible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils of this chapter, other than edible fats or oils of heading no. 1516"
420212,TRUE,0,1000,0,0,0,4185000,4187000,-438000,-0,0,0,-1661000,-330000,-11000,1.1,1.08,1.09,0,0.96,0.96,0.1,"Cases and containers; trunks, suit-cases, vanity-cases, executive-cases, brief-cases, school satchels and similar containers, with outer surface of plastics or of textile materials"
110412,TRUE,0,98000,249000,8000,0,0,354000,-106000,0,-0,0,-4000,-4000,-2000,0.55,0.56,0.57,0,0.56,0,0.12,"Cereal grains; rolled or flaked, of oats"
200899,TRUE,0,44000,0,0,0,252000,296000,-429000,-0,-1000,767000,-43000,-4000,-7000,0.68,0,0,0,0.68,0.68,0.14,"Fruit, nuts and other edible parts of plants; prepared or preserved, whether or not containing added sugar, other sweetening matter or spirit, n.e.c. in heading no. 2008"
610342,TRUE,0,137000,0,0,0,64000,201000,-376000,-177000,0,0,338000,11000,1000,1.29,0,0,0,1.29,1.28,0.11,"Trousers, bib and brace overalls, breeches and shorts; men's or boys', of cotton, knitted or crocheted"
081040,TRUE,0,68000,0,0,0,3000,71000,-19000,0,-2000,2000,0,-0,-1000,0.24,0,0,0,0.24,0.24,0.06,"Fruit, edible; cranberries, bilberries and other fruits of the genus vaccinium, fresh"
200893,TRUE,0,58000,0,0,0,234000,292000,-83000,0,0,0,0,-1000,-26000,0.96,0,0,0,0.96,0.96,0.19,"Fruit; cranberries (Vaccinium macrocarpon, Vaccinium oxycoccos, Vaccinium vitis-idaea), prepared or preserved, whether or not containing added sugar, other sweetening matter or spirit"
030486,TRUE,0,5000,0,0,0,99000,103000,-29000,0,0,0,-0,-0,-1000,0.37,0,0,0,0.44,0.45,0.1,"Fish fillets; frozen, herrings (Clupea harengus, Clupea pallasii)"
210610,TRUE,0.02,9000,5000,0,839000,198000,1050000,-343000,0,0,3000,-18000,-5000,-76000,5.78,5.79,0,5.38,5.46,5.79,0.64,Protein; concentrates and textured protein substances
020220,TRUE,0.09,6000,530000,0,0,809000,1346000,-921000,0,-12000,1647000,0,-14000,-711000,5.2,4.69,0,0,4.77,4.81,0.38,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen"
090921,TRUE,0,0,0,41000,0,26000,67000,-18000,0,0,0,0,-0,-0,0.2,0,0.2,0,0.19,0.18,0.03,"Spices; coriander seeds, neither crushed nor ground"
081120,TRUE,0,141000,0,0,0,0,141000,-128000,0,0,316000,-0,-6000,-8000,0.34,0,0,0,0.34,0,0.08,"Fruit, edible; raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries, uncooked or cooked, whether or not containing added sugar or other sweetening matter"
621143,TRUE,0,1000,0,0,0,162000,163000,-284000,-0,1000,1000,676000,4000,1000,1.23,1.21,0,0,1.18,1.18,0.11,"Track suits and other garments n.e.c.; women's or girls', of man-made fibres (not knitted or crocheted)"
030731,TRUE,0,30000,0,0,0,0,30000,-4000,0,0,1000,0,-0,0,0.18,0,0,0,0.18,0.18,0.07,"Molluscs; mussels (Mytilus spp., Perna spp.), whether in shell or not, live, fresh or chilled"
420292,TRUE,0,178000,1000,0,0,84000,263000,270000,-3000,9000,7000,2629000,180000,18000,0.88,0.89,0,0.89,0.88,0.88,0.08,"Cases and containers; n.e.c. in heading 4202, with outer surface of sheeting of plastics or of textile materials"
030441,TRUE,0,217000,0,0,0,0,217000,-60000,0,0,0,0,-0,-0,0.14,0,0,0,0.14,0,0.04,"Fish fillets; fresh or chilled, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic (Salmo salar), Danube (Hucho hucho)"
