HS_2,HS_4,HS6 Code,Description,ROC Export to Japan Baseline,BC Export to Japan Baseline,AB Export to Japan Baseline,SK Export to Japan Baseline,MB Export to Japan Baseline,Western Canada Exports to Japan Baseline,Total CDN export to Japan Baseline,ROC Gain - No Export Promotion ,ROC Gain %,BC Gain - no export promotion,BC%,AB Gain - no export promotion,AB%,SK Gain - no export promotion,SK%,MB Gain - no export promotion,MB%,Western Canada Gain - no export promotion,Western Canada Gain %,Total Canada Gain - no export promotion,Total Canada Gain %,West Exports to Japan as % of total West Exports (Pre-TPP),West Exports to Japan as % of total West Exports (Post-TPP),Canada export change with China,Canada export change with EU,Canada export change with USA,Australia's export to Japan Change,Brunei's export to Japan  Change,Chile's export to Japan Change,Japan's export to Japan Change (internal trade change),Malaysia's export to Japan Change,Mexico's export to Japan Change,New Zealand's export to Japan Change,Peru's export to Japan Change,Singapore's export to Japan Change,Vietnam's export to Japan Change,China's export to Japan Change,EU's export to Japan Change,USA's export to Japan Change,ROW's export to Japan Change,Japan Rate for Canada TPP,Japan Rate for China  ,Japan Rate for EU28 ,Japan Rate for USA (OLD),Japan Rate for ROW
'16,'1602,'160249,*Prepared or preserved meat and offal of pork,19036.8121017121,0,21144.2437781768,6.53093656810203,0,21150.774714745,40187.586816457,13150.1863724236,69.077670684373%,0,0,11326.2409167924,53.5665452764138%,4.66631874371801,71.4494574408966%,0,0,11330.9072355361,53.5720671623293%,24481.0936079597,60.9170531183389%,65.4279488808659%,74.5513110928962%,-0.565432699774956,-0.0436727960037933,-470.090166076618,-1.99473717182114,0,-1.53555321589314,-5426.50312538975,0,-288.110632349943,0,0,-1.96487119700834,0,-3855.33190586719,-1083.54958038913,-4321.88986272775,-365.796754692225,1,1.07124999910593,1.07124999910593,1.07124999910593,1.07124999910593
'02,'0203,'020322,*Frozen bone-in ham,2583.04642479652,120.086483531787,1684.79339684816,0,381.864659930445,2186.74454031039,4769.79096510691,13574.507543055,525.52317344139%,599.123913935944,498.910365526155%,7234.6951867204,429.411416275416%,0,0,2010.20869590517,526.419149724754%,9844.02779656151,450.168166198518%,23418.5353396165,490.976135242263%,6.67062336671543%,32.7208435927215%,-5020.73140563557,-62.8241830602497,-1109.00853694244,0,0,-351.234377941425,-4839.28109847254,0,-4635.90871692356,0,0,0,0,0,-196.152918319572,-76.5294825422432,-0.0073918812973,1,1.51671904325485,1.51671904325485,1.51671904325485,1.51671904325485
'08,'0811,'081190,*Frozen fruit and nuts,15974.6983092813,11425.6659365897,24.3750069480845,0,36.1178295966344,11486.1587731345,27460.8570824157,8705.83190174789,54.4976295213651%,6085.24200001084,53.2594076685137%,13.7136424993382,56.2610813959825%,0,0,20.1348085119863,55.74755941%,6119.09045102216,53.2736014875086%,14824.9223527701,53.9856505872245%,13.3731398095304%,19.3882825396162%,-167.487457686142,-921.592554562499,-2518.61475132694,-0.921000105317631,0,-75.8591960194581,-4500.43173235597,-0.401780220460935,-41.6280724387216,863.30005531206,-140.89687264472,0,-52.8964082847378,-219.618885908749,-101.869796839401,-174.042371741294,-420.220962933861,1,1.09324999898672,1.12183333188295,1.12183333188295,1.12183333188295
'44,'4410,'441012,"Oriented strand board ""OSB"", of wood",12.6344282830673,43902.4598495202,207.206785210772,1549.90963765901,0,45659.5762723899,45672.210700673,4.22891574229839,33.4713660765006%,13141.6267795018,29.9336912431467%,69.3086388159298,33.4490198983728%,514.72079331204,33.2097291871464%,0,0,13725.6562116298,30.0608488562115%,13729.8851273721,30.0617923168973%,4.72046823811295%,6.09769164153125%,-341.199328964218,-1.25654045437575,-7426.97868880811,0,0,0,-3366.10237826938,-8.39407446677913,0,0,0,0,0,-19.0247938509182,-1728.70334224871,-21.259482363893,-1609.37967607443,1,1.03399999812245,1.05666666477919,1.05666666477919,1.05666666477919
'35,'3503,'350300,Gelatin,19377.2318903944,0.0567405359725028,0,0,0,0.0567405359725028,19377.2886309304,12853.7761743545,66.3344292263249%,0.046172345716181,81.374532201382%,0,0%,0,0,0,0,0.046172345716181,81.3745322013819%,12853.8223467002,66.3344732667229%,0.106629801014278%,0.193397063566707%,1029.16519078979,1259.60913979016,33561.4900284365,0,0,0,-4853.78394969506,0,0,0,0,0,-3.87985985661287,-122.340267957995,-1581.83182518757,-154.572144656092,-284.74132437043,1,1.08500000089407,1.10024999827147,1.10024999827147,1.10024999827147
'62,'6201,'620193,Men's windbreakers,10934.2179360803,107.194048084128,0,0,0.16941321423071,107.363461298359,11041.5813973786,11909.9872774987,108.923997556319%,149.430315531473,139.401690860855%,0,0%,0,0,0.206358750043867,121.807942184985%,149.636674281517,139.37392896237%,12059.6239517802,109.22007924194%,0.732172506016228%,1.64048933376211%,-49.5582596448695,-515.682398987515,449.942171702979,-0.00581534018886853,0,0,-1255.76540209539,-10.933702491999,2.1990154762973,0,-0.00421976860829254,0,-7670.93117106054,-1067.87045796221,-219.407134176006,-11.2275815580149,-264.938725568398,1,1.10950000584126,1.10950000584126,1.10950000584126,1.10950000584126
'20,'2004,'200410,"*Frozen potatoes, prepared or preserved",5352.09681695948,24.7784742833791,18500.2157916541,0,856.741305686027,19381.7355716235,24733.832388583,2541.2949178669,47.4822299517109%,11.8510153895165,47.827865646538%,8409.45856685837,45.4560025762083%,0,0,409.562664293951,47.8047062252938%,8830.87224654184,45.5628558851613%,11372.1671644087,45.9781848026838%,3.50459038761804%,5.05513642554428%,-201.5578344235,-0.705086485034994,-4024.72805099224,-0.0920974863304771,0,0,-3606.56706244266,-0.192150529781387,0,1453.64809898985,0,0,-0.131663663433898,-16.2363899887214,-173.232360994662,-966.568058057921,-19.6755022779435,1,1.10366667062044,1.10366667062044,1.10366667062044,1.10366667062044
'75,'7502,'750210,"Nickel, not alloyed, unwrought",25904.1418930949,0,14390.3705330093,0,4203.29863303317,18593.6691660424,44497.8110591373,5882.11911218847,22.7072532897004%,0,0,3254.30423984904,22.614457580395%,0,0,974.702016663564,23.188978508534%,4229.0062565126,22.7443342072366%,10111.1253687011,22.7227477667687%,2.22102705451272%,2.72149563124785%,-742.156715335292,-2203.97006341722,-2887.49336195276,-670.150728225562,0,0,-3913.45425384794,0,0,0,0,-0.0287843372856509,0,-18.2680234825843,-246.968456231923,0,-1708.67717118684,1,1.01565255969763,1.02608759887517,1.02608759887517,1.02608759887517
'17,'1702,'170220,Maple sugar and maple syrup,20151.2836632707,176.690277019276,0,7.37414589757121,0,184.064422916847,20335.3480861876,9799.34924494103,48.6289082556169%,80.3434951565391,45.471373134909%,0,0%,3.69400233732385,50.0939686932493%,0,0,84.0374974938629,45.656567500732%,9883.38674243489,48.6020042565586%,49.8475513974417%,59.8212709812993%,-15.8503873257944,-1002.86474007426,-2945.93401457224,0,0,0,-3645.92890740803,0,0,0,0,0,0,0,0,-13.9085705137088,-303.144050388191,1,1.09451246261597,1.09451246261597,1.09451246261597,1.09451246261597
'02,'0209,'020910,"*Pig fat, fresh, chilled, frozen, salted etc.",19373.463882815,757.139670388722,6222.31273254144,0,4508.90665835007,11488.3590612802,30861.8229440952,5751.2886745328,29.6864242208871%,173.18942363678,22.874171095521%,1314.310536644,21.1225406555094%,0,0,1366.02468185646,30.2961401812723%,2853.52464213724,24.8384005663142%,8604.81331667004,27.8817402726251%,56.8566764227668%,65.3404196637381%,-177.335081608894,-6.17833485151582,-385.624097978321,0,0,-12.4239736013039,-3156.82340944302,0,-241.452867425411,0,0,0,0,0,-506.261949270557,-158.092868002618,-336.968627826235,1,1.02999999932945,1.0599999986589,1.0599999986589,1.0599999986589
'04,'0409,'040900,Natural honey,2031.11676477847,405.53811413376,6827.12744320738,989.389532962599,1669.43873358726,9891.49382389099,11922.6105886695,1600.83906972545,78.8157085543061%,317.450419752074,78.2788124440921%,4638.38569450992,67.9405171954841%,751.894458097462,75.9957967056728%,1230.99701531363,73.7371782831758%,6938.72758767308,70.1484296630093%,8539.56665739853,71.6249733553659%,21.2611612936323%,32.3784323853679%,-26.3094691888131,-1.30260616653233,-1461.60377697881,-3.89089064208406,0,-0.0128305490705469,-3658.52681838116,-0.00159632426322026,-7.61936307527708,15309.3548056253,0,0,-1.10982178356124,-275.235705436979,-59.6928597668521,-1.69224110222234,-68.1257399617207,1,1.25499999523163,1.25499999523163,1.25499999523163,1.25499999523163
'62,'6202,'620293,Women's windbreakers,7327.36070228798,7.4750620259224,0,0,0.16941321423071,7.64447524015311,7335.00517752813,8229.01143532036,112.305259283207%,10.5164039779207,140.686511248353%,0,0%,0,0,0.199103018633251,117.525081816882%,10.715506996554,140.173218696164%,8239.72694231692,112.334303015362%,0.0486105563632836%,0.111993428166257%,-19.4396587308716,-101.261889193922,556.152248554166,-0.032928724122872,0,0,-1158.81723262271,-14.3797390581286,0.549519755762404,1.59798163559133,-0.038011343324337,-0.00671503924299693,-3146.35769603802,-1370.97443566797,-235.87336391045,-3.57780274123007,-320.789041484975,1,1.10950000584126,1.10950000584126,1.10950000584126,1.10950000584126
'07,'0713,'071333,"*Dried, shelled kidney beans",939.117902823935,0.384961908396578,9.91932276213174,19.7378715539812,29.223226785001,59.2653830095105,998.383285833445,7596.39706384588,808.88640723422%,3.2380689279773,841.140086161856%,82.1946106070335,828.631274312615%,164.936900607425,835.636710657166%,244.553115322147,836.845010721628%,494.922695464583,835.095751233331%,8091.31975931046,810.442229364434%,0.220899613510716%,2.04258816565845%,-16.007743837022,-2685.09061403581,-259.535595244248,0,0,-0.0879798664789262,-2336.45923204963,0,0,0,-4.43557719480087,0,-0.737583830153742,-93.9303279552278,-6.25309791083572,-121.946371464427,-337.561152966588,1,1.84279292821884,1.8527929186821,1.8527929186821,1.8527929186821
'02,'0206,'020621,Frozen beef tongues,200.439482732029,5.59782555993114,10436.5417378061,0,0,10442.1395633661,10642.5790460981,265.286906049341,132.35261957047%,7.76444576336359,138.704675239275%,7356.85312098866,70.4912920947619%,0,0,0,0,7364.61756675202,70.5278599472962%,7629.90447280136,71.6922509079106%,51.2002639715833%,71.8433873576956%,-0.648804622590738,0,-2499.62113024277,-1303.19144720637,0,-34.7720934936869,-6400.39638431114,0,-180.077460395747,11365.2394043984,0,0,0,0,-241.185237119384,-2708.40454859023,-90.5898320494998,1,1.12800000607967,1.12800000607967,1.12800000607967,1.12800000607967
'75,'7504,'750400,"Powders and flakes, of nickel (excl. nickel oxide sinters)",76620.2981594528,0,5109.37134283509,0,0,5109.37134283509,81729.6695022879,6868.0885515632,8.96379773577776%,0,0,586.453276899089,11.4779928399895%,0,0,0,0,586.453276899089,11.4779928399895%,7454.54182846228,9.12097390563119%,8.95856117588028%,9.93719387015822%,-1032.89104949447,-219.058925598426,-1339.13031780092,-6.31424348562615,0,0,-3620.14412772225,0,0,0,0,-0.00856952741561978,0,-188.083444760654,-474.723910141773,-118.117431559249,-4.40817437276385,1,1,1.01658407971263,1.01658407971263,1.01658407971263
'01,'0101,'010129,Live horses,0,326.182649947434,12424.966102726,0,3501.5380472933,16252.6867999667,16252.6867999667,0,0%,88.5312170626528,27.141608260562%,3312.29081554387,26.6583489094362%,0,0,891.599896873883,25.4630932130837%,4292.4219294804,26.4105374225829%,4292.4219294804,26.4105374225829%,55.9375927333994%,61.664784709655%,0,-2.2569787596266,-29.4410717118183,-3.46169542934967,0,0,-1425.59930348583,0,0,56.4944714658138,0,0,0,0,-30.6366804417848,-32.3184268457589,-20.835818284475,1,1.06238028034568,1.06238028034568,1.06238028034568,1.06238028034568
'42,'4202,'420212,"Suitcases, briefcases and similar",4350.9557250552,1.06574005924565,0.417498065978379,0.0398382422498321,0,1.52307636747386,4352.47880142267,4184.83536282617,96.1819799435692%,1.17308285858056,110.072137047273%,0.452892535538397,108.477756532135%,0.0434187330182785,108.987572157407%,0,0,1.66939412713723,109.606725098496%,4186.5047569533,96.1866777061587%,0.286737420460072%,0.591067155852671%,-74.5027285269995,-48.419826184614,-1837.94343852318,-0.0223950102954329,0,0,-438.306386255514,-0.0341292316448492,0.120336123022398,0,0,-0.0264069142036996,-466.006018353564,-1660.604488571,-330.455925300092,-11.0265820008362,-125.998158383882,1,1.09533333033323,1.09533333033323,1.09533333033323,1.09533333033323
'28,'2829,'282911,Chlorate of sodium,1823.04895103507,23665.5556763808,0,0,0,23665.5556763808,25488.6046274159,391.202584632512,21.4586988687494%,3417.7905027546,14.4420462781091%,0,0%,0,0,0,0,3417.7905027546,14.4420462781091%,3808.99308738711,14.9439058868295%,12.114021767371%,13.7144384009194%,0,-16.4278856678549,-837.857260509515,0,0,0,-1356.19447999541,0,0,0,0,0,0,-124.799750521215,-168.272044089241,-219.902683155666,-0.0000944484618582578,1,1,1.03299999982119,1.03299999982119,1.03299999982119
'61,'6110,'611020,Cotton sweaters,2199.3628692007,140.523763481826,0,0,0.00972447325769854,140.533487955084,2339.89635715579,2654.8923384287,120.711883227962%,185.366155581977,131.910896057058%,0,0%,0,0,0.0121995294951528,125.451828308488%,185.378355111472,131.910449109981%,2840.27069354017,121.384465805682%,7.75241912047504%,14.8901989984121%,3.08298163284978,138.442953527111,865.352402090094,0.176537247243235,0,0,-1076.22137468332,-875.646735432765,26.7104471880065,3.29047269502699,10.2893291091962,-0.930067767657675,-11500.3228327149,4566.95386098814,267.249349980688,18.1255689780201,1152.24729121808,1,1.10300000011921,1.10300000011921,1.10300000011921,1.10300000011921
'03,'0305,'030520,Dried fish livers,0.131619897630975,15821.9120792022,0,0,44.6634837517326,15866.5755629539,15866.7071828515,0.0367192824055476,27.8979721656509%,2641.18598049925,16.6932161377074%,0,0%,0,0,7.94515859472137,17.7889361225951%,2649.13113909397,16.6963005254852%,2649.16785837638,16.6963934472778%,72.6130943044111%,76.8269196880462%,-397.592614763095,-16.4513880954181,-49.6658320693056,-1.54891937396201,0,-0.0966683884058952,-762.694342587376,0,0,0,-9.71152557091136,0,0,-28.5498406996649,-34.113651813961,-74.2718552998558,-44.4576496770642,1,1.05880000069737,1.06440000236034,1.06440000236034,1.06440000236034
'41,'4101,'410150,Beef/horse hides,12856.190604131,5.22389442000463,583.459366388354,0,0,588.683260808359,13444.8738649394,2483.0430589911,19.3139875990422%,1.07079167189612,20.4979577649116%,119.590861285065,20.4968620223442%,0,0,0,0,120.661652956961,20.4968717458133%,2603.70471194806,19.3657801337789%,0.412335493552981%,0.496596431287468%,-224.803051439888,-222.871738722273,-236.126410520116,-1.9535882270452,0,-0.595679107235469,-393.29826935142,0,-0.018126251324329,63.348532576235,-0.0111629049543218,0,-0.00745231965933435,0,-12.1720486757749,-23.9734930268241,-1.86871122012644,1,1.07500000298023,1.07500000298023,1.07500000298023,1.07500000298023
'15,'1514,'151419,Canola oil erucic acid < 2%,47.8185091824459,170.330382323481,4545.89996859952,13.130632401882,635.503759162134,5364.86474248701,5412.68325166946,19.7150392075942,41.2288871917226%,69.8738443962393,41.0225371675261%,1800.62975650025,39.6099731392679%,5.41062690953878,41.2061410596132%,261.59936101764,41.1640934056062%,2137.51358882367,39.8428234713104%,2157.22862803127,39.8550686919635%,0.451777394621598%,0.63115269493293%,-38.476566073038,-0.797270370947791,-1182.99675607987,-69.0953211685758,0,0,-779.251801731276,-15.5509764166104,0,0.167450089002726,0,0,0,0,-10.052829558688,-40.4008236104882,-0.000977626342706276,1,1.07904295623302,1.07904295623302,1.07904295623302,1.07904295623302
'64,'6404,'640419,"Rubber soled footwear, plastic uppers",88.8145694772184,0.0144866335453935,0,0,0,0.0144866335453935,88.8290561107638,2140.4604799591,2410.03305263799%,0.359653988750155,2482.66091375328%,0,0%,0,0,0,0,0.359653988750155,2482.66091375328%,2140.82013394785,2410.04489710933%,0.0442329915120265%,1.084124483247%,10.4854432097768,200.523472117411,1958.81073377743,-0.000772387950875753,0,0,-2.40391954395454,-0.942421813624023,53.0511916527697,0,0.989921497244275,-0.00421188055787236,-4359.51296877366,987.956027919427,-26.6973056012866,-1.13166642222018,-16.7069216490636,1.10980000346899,1.65051782131195,1.65051782131195,1.65051782131195,1.65051782131195
'03,'0303,'030389,Frozen fish,4080.97655607712,8553.15869973623,0,0,0,8553.15869973623,12634.1352558133,714.47183368287,17.5073741263945%,1413.34242522321,16.5242160801576%,0,0%,0,0,0,0,1413.34242522321,16.5242160801576%,2127.81425890608,16.8417878693123%,38.1870521813346%,42.0411837430187%,-171.465105523347,-65.875181121927,-190.528588079993,-0.134165610171138,-0.000455461781978139,-3.7932814505084,-1466.16929316241,-0.0860865796262544,-0.000541386740604333,3059.11812069856,-0.0915578245212174,0,-3.08291134263709,-39.1434840180154,-14.6933807379664,-221.959090002521,-164.810102520511,1,1.04461538419127,1.04461538419127,1.04461538419127,1.04461538419127
'07,'0713,'071339,"*Dried, shelled beans",7881.10439080218,2.56007217356438,628.560309796204,114.382174539602,0,745.502556509371,8626.60694731155,1794.14327914398,22.7651251674559%,0.648130886749404,25.316899009414%,157.805567223548,25.1058752460385%,28.9125147088683,25.2771157964461%,0,0,187.366212819166,25.1328732789947%,1981.50949196314,22.9697435395579%,0.674147514352416%,0.842387359719761%,-0.334018391841258,-304.522434653999,-241.951317067365,0,0,0,-545.6126490889,0,0,0,-1.61858308203006,0,0,-32.2306120114426,0,-42.2963895448829,-8.5666092349677,1,1.05750000104308,1.06499999761581,1.06499999761581,1.06499999761581
'19,'1905,'190590,"*Bread, pastry, cakes",580.509063706114,2239.42579718468,364.587251044114,0,32.9816219344201,2636.99467016322,3217.50373386933,320.361027959425,55.1862232631065%,1231.69750382701,55.0005945888205%,201.108534803659,55.1606053770995%,0,0,18.2089655696593,55.2094302877692%,1451.01500420032,55.0253294258845%,1771.37603215975,55.0543582440389%,1.85640480020265%,2.85040462548751%,-0.0377543005154484,-7.41229834502108,-456.40197859843,-0.924597114587414,0,0,-974.806389183737,-41.1007386116107,-0.0342628704174359,313.41902950893,-0.0669170220951116,-4.84604272403885,-44.2774742901129,-46.5156871364161,-28.9315088452349,-23.8209742429754,-26.9863661040363,1.05509090909091,1.13863636553288,1.17781817913055,1.17781817913055,1.17781817913055
'15,'1514,'151411,Crude canola oil erucic acid < 2%,180.980786759577,902.848980608662,382.935363942818,731.899331214861,0,2017.68367576634,2198.66446252592,126.811346816987,70.0689554330696%,631.749201367227,69.9728542575669%,269.742168965872,70.4406524872827%,515.148426159396,70.3851478186644%,0,0,1416.63979649249,70.2111938311855%,1543.45114330948,70.1994856248461%,0.192385491962612%,0.32725840304919%,-396.839863922162,-9.9163867134987,-194.849343443114,-370.80891459672,0,0,-439.864935197096,0,0,0,0,0,0,0,-10.0688602412306,0,-0.000414869707304331,1,1.09708113968372,1.09708113968372,1.09708113968372,1.09708113968372
'39,'3926,'392690,Plastics 3901-3914,7060.87435890693,427.389343787967,33.6503485885958,0,41.5833032253799,502.622995601943,7563.49735450888,1300.78458868611,18.4224293276829%,79.0245508652096,18.4900611149572%,6.23356326986752,18.5245132110759%,0,0,7.68600363894714,18.4833888671357%,92.9441177740242,18.4918156525477%,1393.72870646014,18.427040311309%,0.506265871014916%,0.598690910865697%,-1.16944585550477,-8.40083062250037,-237.250265999678,1.60851573259379,0,0.0460621051270209,-1314.78918186575,-121.215401001962,1.21137384109534,154.546511680946,0,-74.6929733880734,-390.822986520856,83.8725921274163,6.07856634954806,42.0433186748123,18.4911680647638,1,1.01040000002831,1.02600000053644,1.02600000053644,1.02600000053644
'03,'0303,'030390,Frozen fish livers,7878.11693602709,5526.47371871252,0,0,0,5526.47371871252,13404.5906547396,754.028162152257,9.57117250575506%,619.213746099601,11.2044999689939%,0,0%,0,0,0,0,619.213746099601,11.2044999689939%,1373.24190825186,10.2445642960854%,66.4291926920742%,69.2681201146991%,-104.864560690477,-43.9212627095042,-41.8341773580841,-0.363902218504904,0,-0.0907513694463944,-411.268544781255,0,0,77.6497480410483,-0.0265820962834624,0,0.00786429110706166,-0.0959626277847008,-1.3824481613417,-49.9655406098755,-57.4381445387698,1,1.03900000080466,1.03900000080466,1.03900000080466,1.03900000080466
